0,0
1,0
2,0
3,0
3,1
3,2
3,3
3,4
3,5
3,6
4,6
4,7
4,8
5,8
6,8
7,8
8,8
9,8
9,9
9,10
10,10
11,10
12,10
13,10
13,11
13,12
14,12
15,12
15,13
15,14
16,14
16,15
17,15
18,15
18,16
19,16
19,17
20,17
21,17
22,17
22,18
23,18
24,18
25,18
25,19
25,20
26,20
27,20
28,20
28,21
28,22
28,23
29,23
30,23
31,23
32,23
33,23
33,24
34,24
35,24
36,24
37,24
38,24
39,24
40,24
41,24
42,24
43,24
44,24
45,24
45,25
46,25
47,25
48,25
49,25
50,25
51,25
52,25
53,25
54,25
55,25
56,25
57,25
58,25
59,25
60,25
61,25
62,25
62,26
63,26
64,26
65,26
66,26
67,26
68,26
69,26
70,26
70,27
70,28
71,28
72,28
73,28
74,28
75,28
76,28
77,28
78,28
79,28
80,28
81,28
81,29
81,30
81,31
81,32
82,32
82,33
82,34
82,35
82,36
83,36
83,37
83,38
84,38
84,39
84,40
84,41
84,42
84,43
84,44
85,44
86,44
87,44
88,44
88,45
89,45
89,46
89,47
89,48
89,49
89,50
90,50
90,51
90,52
91,52
91,53
91,54
91,55
91,56
91,57
92,57
92,58
92,59
92,60
92,61
93,61
94,61
94,62
94,63
94,64
94,65
94,66
94,67
94,68
94,69
94,70
94,71
94,72
94,73
94,74
94,75
94,76
94,77
95,77
95,78
95,79
95,80
95,81
95,82
96,82
96,83
96,84
96,85
96,86
97,86
97,87
97,88
97,89
97,90
97,91
97,92
97,93
97,94
97,95
97,96
97,97
98,97
98,98
98,99
99,99
