0,0
1,0
2,0
3,0
3,1
3,2
3,3
4,3
5,3
6,3
7,3
8,3
9,3
10,3
10,4
10,5
10,6
11,6
11,7
12,7
13,7
14,7
14,8
15,8
15,9
16,9
16,10
17,10
17,11
17,12
17,13
18,13
19,13
20,13
21,13
22,13
23,13
23,14
23,15
23,16
24,16
25,16
26,16
27,16
28,16
28,17
28,18
27,18
27,19
27,20
27,21
27,22
27,23
28,23
29,23
30,23
30,24
30,25
30,26
30,27
29,27
29,28
29,29
29,30
28,30
28,31
28,32
28,33
28,34
29,34
30,34
30,35
30,36
30,37
30,38
29,38
29,39
29,40
30,40
31,40
31,41
31,42
31,43
31,44
32,44
33,44
34,44
34,45
35,45
35,46
36,46
37,46
37,47
38,47
39,47
39,48
39,49
39,50
39,51
39,52
39,53
39,54
40,54
41,54
41,55
41,56
41,57
41,58
41,59
40,59
39,59
38,59
37,59
36,59
36,60
36,61
35,61
34,61
34,62
34,63
33,63
32,63
31,63
30,63
30,64
30,65
31,65
31,66
31,67
31,68
31,69
30,69
29,69
28,69
28,70
28,71
28,72
28,73
29,73
30,73
30,74
30,75
30,76
30,77
31,77
31,78
31,79
31,80
31,81
31,82
32,82
33,82
33,81
34,81
35,81
36,81
36,80
36,79
37,79
38,79
38,78
38,77
39,77
39,76
39,75
40,75
40,74
41,74
42,74
43,74
44,74
45,74
46,74
47,74
48,74
48,73
48,72
49,72
50,72
50,73
50,74
51,74
52,74
52,73
53,73
54,73
55,73
56,73
56,74
56,75
56,76
56,77
57,77
58,77
58,78
59,78
60,78
61,78
62,78
62,77
63,77
64,77
64,78
65,78
66,78
67,78
68,78
69,78
70,78
71,78
71,77
71,76
72,76
73,76
74,76
74,77
75,77
76,77
76,76
77,76
78,76
79,76
80,76
81,76
82,76
83,76
84,76
84,77
85,77
85,78
86,78
86,79
86,80
87,80
88,80
89,80
89,81
89,82
89,83
89,84
89,85
89,86
89,87
89,88
90,88
91,88
92,88
93,88
94,88
94,89
94,90
94,91
94,92
95,92
96,92
96,93
96,94
97,94
98,94
98,95
98,96
98,97
98,98
98,99
99,99
